mode,policy,answered,n,mean_l2_error,median_l2_error,rmse,mean_d_error,median_d_error,mean_trace,mean_logdet
available,fixed,0,8,1.4175279602177913,1.349972205435141,1.5048899518868444,1.0,1.0,2.0,0.0
available,fixed,1,8,1.1732566564647855,1.3075962189135977,1.3992900085785551,0.7540804207363754,0.75389006049542,1.5697819673805382,-0.5665274808864169
available,fixed,2,8,1.1981560088333103,1.162904838089975,1.4135050055318001,0.6211541810184247,0.6150772138504278,1.3556819963907192,-0.9541274154416309
available,fixed,3,8,1.0675838245489686,1.0142192535999635,1.1966465888387654,0.5252139202039785,0.519448167741112,1.161922911706947,-1.2911245648265925
carried,fixed,0,8,1.4175279602177913,1.349972205435141,1.5048899518868444,1.0,1.0,2.0,0.0
carried,fixed,1,8,1.1732566564647855,1.3075962189135977,1.3992900085785551,0.7540804207363754,0.75389006049542,1.5697819673805382,-0.5665274808864169
carried,fixed,2,8,1.1981560088333103,1.162904838089975,1.4135050055318001,0.6211541810184247,0.6150772138504278,1.3556819963907192,-0.9541274154416309
carried,fixed,3,8,1.0675838245489686,1.0142192535999635,1.1966465888387654,0.5252139202039785,0.519448167741112,1.161922911706947,-1.2911245648265925
available,random,0,8,1.4175279602177913,1.349972205435141,1.5048899518868444,1.0,1.0,2.0,0.0
available,random,1,8,0.9121108967868508,1.0371459685114677,1.0252262212892613,0.7702443161355058,0.7856737523051652,1.5941087551784379,-0.5235409097522297
available,random,2,7,0.8034318529047264,0.9504423230382689,0.9425227708374158,0.5983118558265399,0.5765622615952654,1.241273009079728,-1.033537659473279
available,random,3,6,0.7005852818702546,0.6048329409330334,0.847043909286181,0.5049990893988293,0.4862534019466631,1.070248189868761,-1.3743518044446483
carried,random,0,8,1.4175279602177913,1.349972205435141,1.5048899518868444,1.0,1.0,2.0,0.0
carried,random,1,8,0.9121108967868508,1.0371459685114677,1.0252262212892613,0.7702443161355058,0.7856737523051652,1.5941087551784379,-0.5235409097522297
carried,random,2,8,0.8663162123296243,0.9565726390644722,0.995326833628825,0.6217448725411321,0.5957665600842732,1.2882943711626016,-0.9646163339777153
carried,random,3,8,0.809090171827014,0.7777692753506597,0.9313066839390637,0.5482869721412559,0.5166614252240572,1.15015263343012,-1.2313341975584378
available,surrogate_unweighted,0,8,1.4175279602177913,1.349972205435141,1.5048899518868444,1.0,1.0,2.0,0.0
available,surrogate_unweighted,1,8,1.3236651422757841,1.3075962189135977,1.4380362564828761,0.7446784883408588,0.7183011374703033,1.555707577972544,-0.5916693714230877
available,surrogate_unweighted,2,7,1.0105890658264056,0.9941810231832053,1.0864794544221466,0.5740289615095462,0.5641532310636616,1.1506405864820344,-1.1133370039350248
available,surrogate_unweighted,3,7,0.9536068100211766,0.9146274877981772,1.031803507754962,0.48734794268610576,0.4884659036368309,0.983795625746159,-1.4419532623079954
carried,surrogate_unweighted,0,8,1.4175279602177913,1.349972205435141,1.5048899518868444,1.0,1.0,2.0,0.0
carried,surrogate_unweighted,1,8,1.3236651422757841,1.3075962189135977,1.4380362564828761,0.7446784883408588,0.7183011374703033,1.555707577972544,-0.5916693714230877
carried,surrogate_unweighted,2,8,1.0116190025488296,1.0065047913945013,1.0782552381068302,0.5920629835046407,0.5674226062273207,1.1963050786831717,-1.0568864750290994
carried,surrogate_unweighted,3,8,0.9617595287192541,0.9667280237019873,1.030190576069334,0.5162170920341305,0.4921417256605665,1.0503157380392807,-1.3444257011054486
available,surrogate_weighted,0,8,1.4175279602177913,1.349972205435141,1.5048899518868444,1.0,1.0,2.0,0.0
available,surrogate_weighted,1,8,1.1040145065452815,1.0238096880274727,1.287596082402518,0.7539852406158977,0.75389006049542,1.56956383792572,-0.566649005642129
available,surrogate_weighted,2,8,0.7048144223729492,0.6821464859898443,0.7804764769605005,0.5766585599773678,0.575781310976355,1.172764727177492,-1.1031447310899796
available,surrogate_weighted,3,8,0.9274184015457894,0.7397513111588435,1.0402413943778086,0.46442464718841686,0.4512684252939426,0.9301321162132774,-1.5370066818554036
carried,surrogate_weighted,0,8,1.4175279602177913,1.349972205435141,1.5048899518868444,1.0,1.0,2.0,0.0
carried,surrogate_weighted,1,8,1.1040145065452815,1.0238096880274727,1.287596082402518,0.7539852406158977,0.75389006049542,1.56956383792572,-0.566649005642129
carried,surrogate_weighted,2,8,0.7048144223729492,0.6821464859898443,0.7804764769605005,0.5766585599773678,0.575781310976355,1.172764727177492,-1.1031447310899796
carried,surrogate_weighted,3,8,0.9274184015457894,0.7397513111588435,1.0402413943778086,0.46442464718841686,0.4512684252939426,0.9301321162132774,-1.5370066818554036
